country,city,lived_there
Moldova,Chisinau,yes
Russia,Moscow,yes
Canada,Toronto,yes
Canada,Kingston,yes
Kuwait,Kuwait City,yes
Switzerland,Leysin,yes
UAE,Abu Dhabi,yes
UK,Farnborough,yes
Denmark,Copenhagen,yes
Norway,Oslo,no
USA,Florida,no
USA,Philadelphia,no
USA,New York,no
Mexico,Cancun,no
Cuba,Holguin,no
Bahamas,Nassau,no
South Africa,Cape Town,no
Zambia,Lusaka,no
Mauritius,Port Louis,no
Singapore,Singapore,no
Thailand,Bangkok,no
Malaysia,Kuala Lumpur,no
France,Nice,no
Monaco,Monaco,no
France,Paris,no
Italy,Rome,no
Italy,Venice,no
Italy,Florence,no
Greece,Athens,no
Estonia,Tallinn,no
Czech,Prague,no
Bahrain,Manama,no
Jordan,Petra,no
Egypt,Cairo,no
Turkey,Istanbul,no
Lebanon,Beirut,no
Maldives,Mali,no
Spain,Madrid,no
Spain,Barcelona,no
Ukraine,Odessa,no
Oman,Muscat,no
Hungary, Budapest, no
